0	1	2	hgnc_id	symbol	name	family_id	parent_fam_id
Gene::100128551	LOC100128551	Gene	NA	NA	NA	NA	NA
Gene::100128553	CTAGE4	Gene	HGNC:24772	CTAGE4	CTAGE family member 4	907	NA
Gene::100128569	C19orf71	Gene	NA	NA	NA	NA	NA
Gene::100128571	LOC100128571	Gene	NA	NA	NA	NA	NA
Gene::100128591	LOC100128591	Gene	NA	NA	NA	NA	NA
Gene::100128651	LOC100128651	Gene	NA	NA	NA	NA	NA
Gene::100128668	LOC100128668	Gene	NA	NA	NA	NA	NA
Gene::100128691	LOC100128691	Gene	NA	NA	NA	NA	NA
Gene::100128697	LOC100128697	Gene	NA	NA	NA	NA	NA
Gene::100128731	OST4	Gene	HGNC:32483	OST4	oligosaccharyltransferase complex subunit 4, non-catalytic	445	NA
Gene::100128795	LOC100128795	Gene	NA	NA	NA	NA	NA
Gene::100128824	LOC100128824	Gene	NA	NA	NA	NA	NA
Gene::100128851	LOC100128851	Gene	NA	NA	NA	NA	NA
Gene::100128905	LOC100128905	Gene	NA	NA	NA	NA	NA
Gene::100128927	ZBTB42	Gene	HGNC:32550	ZBTB42	zinc finger and BTB domain containing 42	861	NA
Gene::100128927	ZBTB42	Gene	HGNC:32550	ZBTB42	zinc finger and BTB domain containing 42	28	26
Gene::100128950	LOC100128950	Gene	NA	NA	NA	NA	NA
Gene::100129042	LOC100129042	Gene	NA	NA	NA	NA	NA
Gene::100129069	LOC100129069	Gene	NA	NA	NA	NA	NA
Gene::100129083	LOC100129083	Gene	NA	NA	NA	NA	NA
Gene::100129094	BTNL10	Gene	NA	NA	NA	NA	NA
Gene::100129098	LOC100129098	Gene	NA	NA	NA	NA	NA
Gene::100129112	LOC100129112	Gene	NA	NA	NA	NA	NA
Gene::100129115	LOC100129115	Gene	NA	NA	NA	NA	NA
Gene::100129125	LOC100129125	Gene	NA	NA	NA	NA	NA
Gene::100129126	LOC100129126	Gene	NA	NA	NA	NA	NA
Gene::100129128	KHDC1L	Gene	NA	NA	NA	NA	NA
Gene::100129171	LOC100129171	Gene	NA	NA	NA	NA	NA
Gene::100129216	LOC100129216	Gene	NA	NA	NA	NA	NA
Gene::100129239	CXorf51A	Gene	NA	NA	NA	NA	NA
Gene::100129240	LOC100129240	Gene	NA	NA	NA	NA	NA
Gene::100129271	C1orf68	Gene	NA	NA	NA	NA	NA
Gene::100129275	LOC100129275	Gene	NA	NA	NA	NA	NA
Gene::100129278	TDRD15	Gene	HGNC:45037	TDRD15	tudor domain containing 15	780	NA
Gene::100129280	LOC100129280	Gene	NA	NA	NA	NA	NA
Gene::100129307	LOC100129307	Gene	NA	NA	NA	NA	NA
Gene::100129311	LOC100129311	Gene	NA	NA	NA	NA	NA
Gene::100129322	LOC100129322	Gene	NA	NA	NA	NA	NA
Gene::100129324	LOC100129324	Gene	NA	NA	NA	NA	NA
Gene::100129361	SMIM10L1	Gene	NA	NA	NA	NA	NA
Gene::100129363	LOC100129363	Gene	NA	NA	NA	NA	NA
Gene::100129380	LOC100129380	Gene	NA	NA	NA	NA	NA
Gene::100129385	C9orf92	Gene	NA	NA	NA	NA	NA
Gene::100129393	LOC100129393	Gene	NA	NA	NA	NA	NA
Gene::100129397	LOC100129397	Gene	NA	NA	NA	NA	NA
Gene::100129399	LOC100129399	Gene	NA	NA	NA	NA	NA
Gene::100129406	LOC100129406	Gene	NA	NA	NA	NA	NA
Gene::100129408	LOC100129408	Gene	NA	NA	NA	NA	NA
Gene::100129447	LOC100129447	Gene	NA	NA	NA	NA	NA
Gene::100129480	MKRN2OS	Gene	NA	NA	NA	NA	NA
Gene::100129520	LOC100129520	Gene	NA	NA	NA	NA	NA
Gene::100129528	MUC8	Gene	HGNC:7519	MUC8	mucin 8	648	NA
Gene::100129543	ZNF730	Gene	HGNC:32470	ZNF730	zinc finger protein 730	28	26
Gene::100129543	ZNF730	Gene	HGNC:32470	ZNF730	zinc finger protein 730	3480	NA
Gene::100129572	LOC100129572	Gene	NA	NA	NA	NA	NA
Gene::100129583	FAM47E	Gene	NA	NA	NA	NA	NA
Gene::100129654	TCF24	Gene	HGNC:32275	TCF24	transcription factor 24	420	NA
Gene::100129669	IZUMO3	Gene	HGNC:31421	IZUMO3	IZUMO family member 3	56	NA
Gene::100129697	LOC100129697	Gene	NA	NA	NA	NA	NA
Gene::100129721	LOC100129721	Gene	NA	NA	NA	NA	NA
Gene::100129763	LOC100129763	Gene	NA	NA	NA	NA	NA
Gene::100129775	LOC100129775	Gene	NA	NA	NA	NA	NA
Gene::100129785	LOC100129785	Gene	NA	NA	NA	NA	NA
Gene::100129792	CCDC152	Gene	NA	NA	NA	NA	NA
Gene::100129840	LOC100129840	Gene	NA	NA	NA	NA	NA
Gene::100129842	ZNF737	Gene	HGNC:32468	ZNF737	zinc finger protein 737	28	26
Gene::100129842	ZNF737	Gene	HGNC:32468	ZNF737	zinc finger protein 737	3480	NA
Gene::100129846	LOC100129846	Gene	NA	NA	NA	NA	NA
Gene::100129852	LOC100129852	Gene	NA	NA	NA	NA	NA
Gene::100129884	LOC100129884	Gene	NA	NA	NA	NA	NA
Gene::100129924	LOC100129924	Gene	NA	NA	NA	NA	NA
Gene::100129940	LOC100129940	Gene	NA	NA	NA	NA	NA
Gene::100129969	FAM205C	Gene	NA	NA	NA	NA	NA
Gene::100129974	LOC100129974	Gene	NA	NA	NA	NA	NA
Gene::10013	HDAC6	Gene	HGNC:14064	HDAC6	histone deacetylase 6	993	990
Gene::10013	HDAC6	Gene	HGNC:14064	HDAC6	histone deacetylase 6	694	NA
Gene::10013	HDAC6	Gene	HGNC:14064	HDAC6	histone deacetylase 6	58	26
Gene::100130051	LOC100130051	Gene	NA	NA	NA	NA	NA
Gene::100130057	LOC100130057	Gene	NA	NA	NA	NA	NA
Gene::100130078	LOC100130078	Gene	NA	NA	NA	NA	NA
Gene::100130086	HSFX2	Gene	HGNC:32701	HSFX2	heat shock transcription factor family, X-linked 2	2293	NA
Gene::100130097	KIF28P	Gene	HGNC:49205	KIF28P	kinesin family member 28, pseudogene	622	NA
Gene::100130097	KIF28P	Gene	HGNC:49205	KIF28P	kinesin family member 28, pseudogene	3418	NA
Gene::100130101	LOC100130101	Gene	NA	NA	NA	NA	NA
Gene::100130175	LOC100130175	Gene	NA	NA	NA	NA	NA
Gene::100130274	CCDC166	Gene	NA	NA	NA	NA	NA
Gene::100130276	LOC100130276	Gene	NA	NA	NA	NA	NA
Gene::100130278	LOC100130278	Gene	NA	NA	NA	NA	NA
Gene::100130301	C8orf89	Gene	NA	NA	NA	NA	NA
Gene::100130302	SUPT20HL1	Gene	NA	NA	NA	NA	NA
Gene::100130311	C17orf107	Gene	NA	NA	NA	NA	NA
Gene::100130314	LOC100130314	Gene	NA	NA	NA	NA	NA
Gene::100130345	LOC100130345	Gene	NA	NA	NA	NA	NA
Gene::100130348	TMEM262	Gene	NA	NA	NA	NA	NA
Gene::100130357	LOC100130357	Gene	NA	NA	NA	NA	NA
Gene::100130361	CXorf49	Gene	HGNC:30891	CXorf49	chromosome X open reading frame 49	2293	NA
Gene::100130370	LOC100130370	Gene	NA	NA	NA	NA	NA
Gene::100130372	LOC100130372	Gene	NA	NA	NA	NA	NA
Gene::100130433	LOC100130433	Gene	NA	NA	NA	NA	NA
Gene::100130436	LOC100130436	Gene	NA	NA	NA	NA	NA
Gene::100130442	LOC100130442	Gene	NA	NA	NA	NA	NA
Gene::100130451	LOC100130451	Gene	NA	NA	NA	NA	NA
Gene::100130463	LOC100130463	Gene	NA	NA	NA	NA	NA
Gene::100130519	TMEM221	Gene	NA	NA	NA	NA	NA
Gene::100130520	LOC100130520	Gene	NA	NA	NA	NA	NA
Gene::100130539	C10orf142	Gene	NA	NA	NA	NA	NA
Gene::100130540	LOC100130540	Gene	NA	NA	NA	NA	NA
Gene::100130542	LOC100130542	Gene	NA	NA	NA	NA	NA
Gene::100130560	LOC100130560	Gene	NA	NA	NA	NA	NA
Gene::100130573	LOC100130573	Gene	NA	NA	NA	NA	NA
Gene::100130597	LOC100130597	Gene	NA	NA	NA	NA	NA
Gene::100130613	PRR32	Gene	NA	NA	NA	NA	NA
Gene::100130654	LOC100130654	Gene	NA	NA	NA	NA	NA
Gene::100130657	LOC100130657	Gene	NA	NA	NA	NA	NA
Gene::100130705	LOC100130705	Gene	NA	NA	NA	NA	NA
Gene::100130733	LRRC70	Gene	NA	NA	NA	NA	NA
Gene::100130741	LOC100130741	Gene	NA	NA	NA	NA	NA
Gene::100130742	LRRC69	Gene	HGNC:34303	LRRC69	leucine rich repeat containing 69	1691	1690
Gene::100130761	LOC100130761	Gene	NA	NA	NA	NA	NA
Gene::100130778	LOC100130778	Gene	NA	NA	NA	NA	NA
Gene::100130817	LOC100130817	Gene	NA	NA	NA	NA	NA
Gene::100130827	SBK3	Gene	NA	NA	NA	NA	NA
Gene::100130857	LOC100130857	Gene	NA	NA	NA	NA	NA
Gene::100130863	ZNF840P	Gene	NA	NA	NA	NA	NA
Gene::100130865	LOC100130865	Gene	NA	NA	NA	NA	NA
Gene::100130880	LOC100130880	Gene	NA	NA	NA	NA	NA
Gene::100130890	TSTD3	Gene	NA	NA	NA	NA	NA
Gene::100130920	LOC100130920	Gene	NA	NA	NA	NA	NA
Gene::100130927	LOC100130927	Gene	NA	NA	NA	NA	NA
Gene::100130933	SMIM6	Gene	NA	NA	NA	NA	NA
Gene::100130958	SYCE1L	Gene	NA	NA	NA	NA	NA
Gene::100130967	C6orf99	Gene	NA	NA	NA	NA	NA
Gene::100130976	LOC100130976	Gene	NA	NA	NA	NA	NA
Gene::100130988	C7orf72	Gene	NA	NA	NA	NA	NA
Gene::100131000	LOC100131000	Gene	NA	NA	NA	NA	NA
Gene::100131004	LOC100131004	Gene	NA	NA	NA	NA	NA
Gene::100131017	ZNF316	Gene	HGNC:13843	ZNF316	zinc finger protein 316	28	26
Gene::100131017	ZNF316	Gene	HGNC:13843	ZNF316	zinc finger protein 316	3480	NA
Gene::100131032	LOC100131032	Gene	NA	NA	NA	NA	NA
Gene::100131034	LOC100131034	Gene	NA	NA	NA	NA	NA
Gene::100131094	DPP9-AS1	Gene	HGNC:50706	DPP9-AS1	DPP9 antisense RNA 1	1987	788
Gene::100131099	LOC100131099	Gene	NA	NA	NA	NA	NA
Gene::100131101	LOC100131101	Gene	NA	NA	NA	NA	NA
Gene::100131107	LOC100131107	Gene	NA	NA	NA	NA	NA
Gene::100131129	LOC100131129	Gene	NA	NA	NA	NA	NA
Gene::100131137	BSPH1	Gene	NA	NA	NA	NA	NA
Gene::100131150	LOC100131150	Gene	NA	NA	NA	NA	NA
Gene::100131170	LOC100131170	Gene	NA	NA	NA	NA	NA
Gene::100131187	TSTD1	Gene	NA	NA	NA	NA	NA
Gene::100131190	LOC100131190	Gene	NA	NA	NA	NA	NA
Gene::100131195	LOC100131195	Gene	NA	NA	NA	NA	NA
Gene::100131211	NEMP2	Gene	NA	NA	NA	NA	NA
Gene::100131242	LOC100131242	Gene	NA	NA	NA	NA	NA
Gene::100131244	ANKRD63	Gene	HGNC:40027	ANKRD63	ankyrin repeat domain 63	403	NA
Gene::100131303	LOC100131303	Gene	NA	NA	NA	NA	NA
Gene::100131310	LOC100131310	Gene	NA	NA	NA	NA	NA
Gene::100131355	LOC100131355	Gene	NA	NA	NA	NA	NA
Gene::100131378	C11orf91	Gene	NA	NA	NA	NA	NA
Gene::100131390	SP9	Gene	HGNC:30690	SP9	Sp9 transcription factor	755	NA
Gene::100131390	SP9	Gene	HGNC:30690	SP9	Sp9 transcription factor	28	26
Gene::100131439	CD300LD	Gene	HGNC:16848	CD300LD	CD300 molecule like family member d	590	589
Gene::100131539	ZNF705E	Gene	NA	NA	NA	NA	NA
Gene::100131581	LOC100131581	Gene	NA	NA	NA	NA	NA
Gene::100131599	LOC100131599	Gene	NA	NA	NA	NA	NA
Gene::100131608	PRR23D1	Gene	NA	NA	NA	NA	NA
Gene::100131654	LOC100131654	Gene	NA	NA	NA	NA	NA
Gene::100131719	LOC100131719	Gene	NA	NA	NA	NA	NA
Gene::100131755	ARMCX4	Gene	HGNC:28615	ARMCX4	armadillo repeat containing X-linked 4	409	1492
Gene::100131801	PET100	Gene	HGNC:40038	PET100	PET100 cytochrome c oxidase chaperone	645	NA
Gene::100131820	LOC100131820	Gene	NA	NA	NA	NA	NA
Gene::100131821	LOC100131821	Gene	NA	NA	NA	NA	NA
Gene::100131822	LOC100131822	Gene	NA	NA	NA	NA	NA
Gene::100131827	ZNF717	Gene	HGNC:29448	ZNF717	zinc finger protein 717	28	26
Gene::100131827	ZNF717	Gene	HGNC:29448	ZNF717	zinc finger protein 717	3480	NA
Gene::100131829	LOC100131829	Gene	NA	NA	NA	NA	NA
Gene::100131840	LOC100131840	Gene	NA	NA	NA	NA	NA
Gene::100131860	LOC100131860	Gene	NA	NA	NA	NA	NA
Gene::100131864	LOC100131864	Gene	NA	NA	NA	NA	NA
Gene::100131878	LOC100131878	Gene	NA	NA	NA	NA	NA
Gene::100131894	LOC100131894	Gene	NA	NA	NA	NA	NA
Gene::100131897	FAM196B	Gene	NA	NA	NA	NA	NA
Gene::100131902	KRTAP25-1	Gene	HGNC:34003	KRTAP25-1	keratin associated protein 25-1	619	NA
Gene::100131907	LOC100131907	Gene	NA	NA	NA	NA	NA
Gene::100131980	ZNF705G	Gene	HGNC:37134	ZNF705G	zinc finger protein 705G	28	26
Gene::100131980	ZNF705G	Gene	HGNC:37134	ZNF705G	zinc finger protein 705G	3480	NA
Gene::100132004	LOC100132004	Gene	NA	NA	NA	NA	NA
Gene::100132006	LOC100132006	Gene	NA	NA	NA	NA	NA
Gene::100132025	LOC100132025	Gene	NA	NA	NA	NA	NA
Gene::100132069	LOC100132069	Gene	NA	NA	NA	NA	NA
Gene::100132071	LOC100132071	Gene	NA	NA	NA	NA	NA
Gene::100132074	FOXO6	Gene	HGNC:24814	FOXO6	forkhead box O6	508	NA
Gene::100132146	LOC100132146	Gene	NA	NA	NA	NA	NA
Gene::100132154	LOC100132154	Gene	NA	NA	NA	NA	NA
Gene::100132197	LOC100132197	Gene	NA	NA	NA	NA	NA
Gene::100132247	NPIPB5	Gene	NA	NA	NA	NA	NA
Gene::100132257	LOC100132257	Gene	NA	NA	NA	NA	NA
Gene::100132285	KIR2DS2	Gene	HGNC:6334	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2	620	594
Gene::100132285	KIR2DS2	Gene	HGNC:6334	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2	471	NA
Gene::100132363	LOC100132363	Gene	NA	NA	NA	NA	NA
Gene::100132365	LOC100132365	Gene	NA	NA	NA	NA	NA
Gene::100132386	KRTAP4-9	Gene	HGNC:18910	KRTAP4-9	keratin associated protein 4-9	619	NA
Gene::100132396	ZNF705B	Gene	HGNC:32284	ZNF705B	zinc finger protein 705B	28	26
Gene::100132396	ZNF705B	Gene	HGNC:32284	ZNF705B	zinc finger protein 705B	3480	NA
Gene::100132399	GAGE12D	Gene	HGNC:31904	GAGE12D	G antigen 12D	1845	NA
Gene::100132399	GAGE12D	Gene	HGNC:31904	GAGE12D	G antigen 12D	2293	NA
Gene::100132403	FAM157B	Gene	HGNC:34080	FAM157B	family with sequence similarity 157 member B	1993	788
Gene::100132406	NBPF10	Gene	HGNC:31992	NBPF10	NBPF member 10	662	NA
Gene::100132418	LOC100132418	Gene	NA	NA	NA	NA	NA
Gene::100132439	FAM27E4	Gene	HGNC:44415	FAM27E4	family with sequence similarity 27 member E4	1993	788
Gene::100132463	CLDN24	Gene	HGNC:37200	CLDN24	claudin 24	488	1471
Gene::100132474	LOC100132474	Gene	NA	NA	NA	NA	NA
Gene::100132476	KRTAP4-7	Gene	HGNC:18898	KRTAP4-7	keratin associated protein 4-7	619	NA
Gene::100132495	LOC100132495	Gene	NA	NA	NA	NA	NA
Gene::100132506	FAM197Y3	Gene	HGNC:37465	FAM197Y3	family with sequence similarity 197 Y-linked member 3	1993	788
Gene::100132612	LOC100132612	Gene	NA	NA	NA	NA	NA
Gene::100132731	LOC100132731	Gene	NA	NA	NA	NA	NA
Gene::100132800	LOC100132800	Gene	NA	NA	NA	NA	NA
Gene::100132874	LOC100132874	Gene	NA	NA	NA	NA	NA
Gene::100132911	DPH3P1	Gene	NA	NA	NA	NA	NA
Gene::100132916	FAM159B	Gene	NA	NA	NA	NA	NA
Gene::100132932	FAM197Y9	Gene	HGNC:37477	FAM197Y9	family with sequence similarity 197 Y-linked member 9	1993	788
Gene::100132963	SMIM9	Gene	NA	NA	NA	NA	NA
Gene::100132994	CXorf49B	Gene	HGNC:34229	CXorf49B	chromosome X open reading frame 49B	2293	NA
Gene::100133053	CXorf51B	Gene	NA	NA	NA	NA	NA
Gene::100133093	FAM25G	Gene	NA	NA	NA	NA	NA
Gene::100133128	LOC100133128	Gene	NA	NA	NA	NA	NA
Gene::100133130	LOC100133130	Gene	NA	NA	NA	NA	NA
Gene::100133145	LOC100133145	Gene	NA	NA	NA	NA	NA
Gene::100133220	GOLGA6L3	Gene	NA	NA	NA	NA	NA
Gene::100133251	PRR23D2	Gene	NA	NA	NA	NA	NA
Gene::100133267	LOC100133267	Gene	NA	NA	NA	NA	NA
Gene::100133301	FAM231B	Gene	NA	NA	NA	NA	NA
Gene::100133790	MUC3	Gene	NA	NA	NA	NA	NA
Gene::100133941	CD24	Gene	HGNC:1645	CD24	CD24 molecule	471	NA
Gene::100134240	LOC100134240	Gene	NA	NA	NA	NA	NA
Gene::100134301	LOC100134301	Gene	NA	NA	NA	NA	NA
Gene::100134391	LOC100134391	Gene	NA	NA	NA	NA	NA
Gene::100134444	KCNJ18	Gene	HGNC:39080	KCNJ18	potassium inwardly rectifying channel subfamily J member 18	276	183
Gene::100134444	KCNJ18	Gene	HGNC:39080	KCNJ18	potassium inwardly rectifying channel subfamily J member 18	276	178
Gene::100134934	TEN1	Gene	HGNC:37242	TEN1	TEN1 subunit of CST complex	1343	NA
Gene::100134938	UPK3BL	Gene	NA	NA	NA	NA	NA
Gene::100137047	JMJD7	Gene	HGNC:34397	JMJD7	jumonji domain containing 7	1368	NA
Gene::100137049	PLA2G4B	Gene	HGNC:9036	PLA2G4B	phospholipase A2 group IVB	467	NA
Gene::100137049	PLA2G4B	Gene	HGNC:9036	PLA2G4B	phospholipase A2 group IVB	832	823
Gene::10014	HDAC5	Gene	HGNC:14068	HDAC5	histone deacetylase 5	992	990
Gene::100141515	C17orf99	Gene	NA	NA	NA	NA	NA
Gene::100142659	CTAGE8	Gene	HGNC:37294	CTAGE8	CTAGE family member 8	907	NA
Gene::100144595	LOC100144595	Gene	NA	NA	NA	NA	NA
Gene::100144748	KLLN	Gene	NA	NA	NA	NA	NA
Gene::100144878	LRRC53	Gene	NA	NA	NA	NA	NA
Gene::10015	PDCD6IP	Gene	NA	NA	NA	NA	NA
Gene::10016	PDCD6	Gene	HGNC:8765	PDCD6	programmed cell death 6	863	NA
Gene::100169851	PATE3	Gene	HGNC:35426	PATE3	prostate and testis expressed 3	674	NA
Gene::100169851	PATE3	Gene	HGNC:35426	PATE3	prostate and testis expressed 3	1226	NA
Gene::10017	BCL2L10	Gene	HGNC:993	BCL2L10	BCL2 like 10	1057	NA
Gene::100170229	SRRM5	Gene	NA	NA	NA	NA	NA
Gene::100170765	ERICH4	Gene	NA	NA	NA	NA	NA
Gene::100170841	C17orf96	Gene	NA	NA	NA	NA	NA
Gene::100174949	TRIM59-IFT80	Gene	NA	NA	NA	NA	NA
Gene::10018	BCL2L11	Gene	HGNC:994	BCL2L11	BCL2 like 11	1277	1057
Gene::100187907	TRAP	Gene	NA	NA	NA	NA	NA
Gene::100188893	TOMM6	Gene	HGNC:34528	TOMM6	translocase of outer mitochondrial membrane 6	1229	NA
Gene::10019	SH2B3	Gene	HGNC:29605	SH2B3	SH2B adaptor protein 3	741	NA
Gene::10019	SH2B3	Gene	HGNC:29605	SH2B3	SH2B adaptor protein 3	682	NA
Gene::100190949	C5orf52	Gene	NA	NA	NA	NA	NA
Gene::100191040	C2CD4D	Gene	HGNC:37210	C2CD4D	C2 calcium dependent domain containing 4D	823	NA
Gene::100192455	FASA	Gene	NA	NA	NA	NA	NA
Gene::1002	CDH4	Gene	HGNC:1763	CDH4	cadherin 4	1185	18
Gene::10020	GNE	Gene	NA	NA	NA	NA	NA
Gene::10021	HCN4	Gene	HGNC:16882	HCN4	hyperpolarization activated cyclic nucleotide gated potassium channel 4	250	178
Gene::10022	INSL5	Gene	HGNC:6088	INSL5	insulin like 5	542	NA
Gene::10022	INSL5	Gene	HGNC:6088	INSL5	insulin like 5	1897	3575
Gene::10023	FRAT1	Gene	NA	NA	NA	NA	NA
Gene::10024	TROAP	Gene	NA	NA	NA	NA	NA
Gene::10025	MED16	Gene	HGNC:17556	MED16	mediator complex subunit 16	1061	NA
Gene::10025	MED16	Gene	HGNC:17556	MED16	mediator complex subunit 16	362	NA
Gene::10026	PIGK	Gene	HGNC:8965	PIGK	phosphatidylinositol glycan anchor biosynthesis class K	680	NA
Gene::10026	PIGK	Gene	HGNC:8965	PIGK	phosphatidylinositol glycan anchor biosynthesis class K	1951	NA
Gene::10026	PIGK	Gene	HGNC:8965	PIGK	phosphatidylinositol glycan anchor biosynthesis class K	3517	NA
Gene::100271715	ARHGEF33	Gene	HGNC:37252	ARHGEF33	Rho guanine nucleotide exchange factor 33	722	1958
Gene::100271846	ERVV-2	Gene	HGNC:39051	ERVV-2	endogenous retrovirus group V member 2, envelope	1412	2296
Gene::100271849	MEF2B	Gene	HGNC:6995	MEF2B	myocyte enhancer factor 2B	649	NA
Gene::100271849	MEF2B	Gene	HGNC:6995	MEF2B	myocyte enhancer factor 2B	1086	NA
Gene::100271927	RASA4B	Gene	HGNC:35202	RASA4B	RAS p21 protein activator 4B	830	823
Gene::100271927	RASA4B	Gene	HGNC:35202	RASA4B	RAS p21 protein activator 4B	682	NA
Gene::100272147	CMC4	Gene	NA	NA	NA	NA	NA
Gene::100286963	DEFB109	Gene	NA	NA	NA	NA	NA
Gene::100287013	FAM86KP	Gene	NA	NA	NA	NA	NA
Gene::100287036	LOC100287036	Gene	NA	NA	NA	NA	NA
Gene::100287144	USP17L10	Gene	NA	NA	NA	NA	NA
Gene::100287171	WASH1	Gene	NA	NA	NA	NA	NA
Gene::100287178	USP17L11	Gene	NA	NA	NA	NA	NA
Gene::100287205	USP17L12	Gene	NA	NA	NA	NA	NA
Gene::100287226	ZNF729	Gene	HGNC:32464	ZNF729	zinc finger protein 729	28	26
